,Sample Name,Method,Data File,Drying Gas,Gas Temp,Nebulizer
41,Cocaine Sample +ESI,Benito Gunshot Residue Positive.m,Cocaine_Sample_Positive_191206.d,,,
42,Cocaine Sample -ESI,Benito Gunshot Residue Negative.m,Cocaine_Sample_Negative_191206.d,,,
43,Methanol Blank (2),Benito Gunshot Residue Positive.m,Methanol Blank (2)_191206-0005.d,,,
44,Propellant 1mg (2) GT 200,Benito Gunshot Residue Positive.m,Propellant 1mg (2)_191206-0006.d,,200,
45,Propellant 1mg (2) GF 14,Benito Gunshot Residue Positive.m,Propellant 1mg (2)_191206-0007.d,14,,
46,Propellant 1mg (2) Neb 50,Benito Gunshot Residue Positive.m,Propellant 1mg (2)_191206-0008.d,,,50
47,Propellant 1mg (2) GF 14 Neb 35,Benito Gunshot Residue Positive.m,Propellant 1mg (2)_191206-0009.d,14,,35
48,Propellant 10mg (2) GF 14 Neb 35,Benito Gunshot Residue Positive.m,Propellant 10mg (2)_191206-00010.d,14,,35
49,Propellant 10mg (1) rerun,Benito Gunshot Residue Positive.m,Propellant 10mg (1)_191206-00011.d,,,
50,Methanol Blank DG14 Neb 40,Maitre Gunshot Residue Positive 5ul.m,Methanol_Blank_191211-0001.d,14,,40
51,Propellant 1ug (2) DG14 Neb 40,Maitre Gunshot Residue Positive 5ul.m,Propellant 1ug (2)_191211-0002.d,14,,40
52,Propellant 1mg (2) DG14 Neb 40,Maitre Gunshot Residue Positive 5ul.m,Propellant 1mg (2)_191211-0003.d,14,,40
53,Propellant 10mg (2) DG14 Neb 40,Maitre Gunshot Residue Positive 5ul.m,Propellant 10mg (2)_191211-0004.d,14,,40
54,Propellant 1ug (2) Repeat DG14 Neb 40,Maitre Gunshot Residue Positive 5ul.m,Propellant 1ug (2)_repeat_191211-0004.d,14,,40
55,Propellant 1mg (2) Repeat DG14 Neb 40,Maitre Gunshot Residue Positive 5ul.m,Propellant 1mg (2)_repeat_191211-0005.d,14,,40
56,MeOH Blank,Benito Gunshot Residue Positive.m,MeOH_Blank_200124-0001.d,,,
57,Propellant Standard 1ug/mL (1),Benito Gunshot Residue Positive.m,Propellant_Std_1ug_1_200124-0002.d,,,
58,Propellant Standard 1ug/mL (2),Benito Gunshot Residue Positive.m,Propellant_Std_1ug_2_200124-0003.d,,,
59,Propellant Standard 10ug/mL (1),Benito Gunshot Residue Positive.m,Propellant_Std_10ug_1_200124-0004.d,,,
60,Propellant Standard 10ug/mL (2),Benito Gunshot Residue Positive.m,Propellant_Std_10ug_2_200124-0005.d,,,
61,Propellant Standard 100ug/mL (1),Benito Gunshot Residue Positive.m,Propellant_Std_100ug_1_200124-0006.d,,,
62,Propellant Standard 100ug/mL (1),Benito Gunshot Residue Positive.m,Propellant_Std_100ug_2_200124-0007.d,,,
63,Propellant Standard 10ug/mL ms/ms (1),Benito Gunshot Residue Positive ms-ms.m,Propellant_Std_10ug_ms_ms_1_200124-0008.d,,,
64,Propellant Standard 10ug/mL ms/ms (2),Benito Gunshot Residue Positive ms-ms.m,Propellant_Std_10ug_ms_ms_2_200124-0008.d,,,
65,MeOH Blank,Benito Gunshot Residue Positive.m,MeOH_Blank_200128-0001.d,,,
66,Propellant Standard 10ug/mL,Benito Gunshot Residue Positive.m,Propellant_Std_10ug_normal_200128-0002.d,,,
67,Propellant Standard 10ug/mL DG 14,Benito Gunshot Residue Positive.m,Propellant_Std_10ug_DG14_200128-0003.d,14,,
68,Propellant Standard 10ug/mL GT 200,Benito Gunshot Residue Positive.m,Propellant_Std_10ug_GT200_200128-0004.d,,200,
69,Propellant Standard 10ug/mL NEB 35,Benito Gunshot Residue Positive.m,Propellant_Std_10ug_NEB35_200128-0005.d,,,35
70,Propellant Standard 0.1ug/mL (1),Benito Gunshot Residue Positive.m,Propellant_Std_0.1ug_1_200128-0006.d,,,
71,Propellant Standard 0.1ug/mL (2),Benito Gunshot Residue Positive.m,Propellant_Std_0.1ug_2_200128-0007.d,,,
72,MeOH Blank,Benito Gunshot Residue Positive low flow.m,MeOH_Blank_200129-0001.d,,,
73,Propellant Standard 0.1ug/mL (1),Benito Gunshot Residue Positive low flow.m,Propellant_Std_0.1ug_1_200129-0002.d,,,
74,MeOH Blank,Benito Gunshot Residue Positive low flow.m,MeOH_Blank_200129-0002.d,,,
75,Propellant Standard 0.1ug/mL (2),Benito Gunshot Residue Positive low flow.m,Propellant_Std_0.1ug_2_200129-0003.d,,,
76,MeOH Blank,Benito Gunshot Residue Positive low flow.m,MeOH_Blank_200129-0004.d,,,
77,Propellant Standard 1ug/mL (1),Benito Gunshot Residue Positive low flow.m,Propellant_Std_1ug_1_200129-0005.d,,,
